 timestamp ,  source_ip , destination_ip , protocol , misc_info 
 "2025-03-05T14:23:45"  ,  192.168.1.1  , 10.0.0.5  , TCP ,   extra-data  
2025-03-05T14:23:46, ,  172.16.0.3 , "UDP" ,null
 "2025-03-05T14:23:47"  , "10.0.0.5"  , , ICMP, random-text 
2025-03-05T14:23:48  , 192.168.0.12 ,192.168.1.1,TCP, 
 2025-03-05T14:23:49, "10.0.0.5" , "10.0.0.5" , ,misformatted row
"2025-03-05T14:23:50" ,172.16.0.3, 192.168.0.12 ,UDP, "extra, comma in field"
2025-03-05T14:23:51,192.168.1.1, ,TCP, 
2025-03-05T14:23:52, , ,ICMP, "   spacey   "
 "2025-03-05T14:23:53"  , 192.168.0.12, 10.0.0.5 , UDP , 
2025-03-05T14:23:54,10.0.0.5,192.168.1.1,TCP,trailing spaces     
2025-03-05T14:23:55 , "192.168.1.1" , "10.0.0.5" , "TCP" , "quoted, messy, data" 
